Synonym	current_species_or_subspecies_name
Stellio zonurus	Xenagama zonura
Acanthocercus zonurus	Xenagama zonura
Xenagama zonura	Xenagama zonura
Platemys pallidipectoris	Acanthochelys pallidipectoris
Acanthochelys pallidipectoris	Acanthochelys pallidipectoris
Emys depressa	Acanthochelys spixii
Platemys Spixii	Acanthochelys spixii
Hydraspis spixii	Acanthochelys spixii
Platemys radiolata spixii	Acanthochelys spixii
Acanthochelys spixii	Acanthochelys spixii
Acanthodactylus cantoris arabicus	Acanthodactylus arabicus
Acanthodactylus arabicus	Acanthodactylus arabicus
Acanthodactylus inornatus aureus	Acanthodactylus aureus
Acanthodactylus aureus	Acanthodactylus aureus
Acanthodactylus bedriagai	Acanthodactylus bedriagai
Acanthodactylus pardalis variete bedriagai	Acanthodactylus bedriagai
Acanthodactylus bedriagae	Acanthodactylus bedriagai
Acanthodactylus beershebensis	Acanthodactylus beershebensis
Acanthodactylus blanci	Acanthodactylus blanci
Acanthodactylus savignyi blanci	Acanthodactylus blanci
Acanthodactylus cantoris blanfordii	Acanthodactylus blanfordii
Acanthodactylus blanfordii	Acanthodactylus blanfordii
Lacerta boskiana	Acanthodactylus boskianus
Lacerta aspera	Acanthodactylus boskianus
Scapteira inaequalis	Acanthodactylus boskianus
Acanthodactylus Boskianus	Acanthodactylus boskianus
Lacerta longicauda	Acanthodactylus boskianus
Acanthodactylus boskianus asper	Acanthodactylus boskianus
Acanthrodactylus sic boskianus	Acanthodactylus boskianus
Acanthodactylus boskianus asper	Acanthodactylus boskianus asper
Lacerta asper	Acanthodactylus boskianus asper
Acanthodactylus boskianus syriacus	Acanthodactylus boskianus asper
Acanthodactylus schreiberi syriacus	Acanthodactylus boskianus asper
Acanthodactylus boskianus khattensis	Acanthodactylus boskianus asper
Acanthodactylus boskianus nigeriensis	Acanthodactylus boskianus asper
Acanthodactylus boskianus euphraticus	Acanthodactylus boskianus euphraticus
Acanthodactylus Latastia boueti	Acanthodactylus boueti
Acanthodactylus boueti	Acanthodactylus boueti
Acanthodactylus busacki	Acanthodactylus busacki
Acanthodactylus cantoris	Acanthodactylus cantoris
Acanthrodactylus sic cantoris	Acanthodactylus cantoris
Lacerta dumerili	Acanthodactylus dumerilii
Scapteira inornata	Acanthodactylus dumerilii
Acanthodactylus scutellatus exiguus	Acanthodactylus dumerilii
Acanthodactylus scutellatus variété exiguus	Acanthodactylus dumerilii
Acanthodactylus scutellatus inornatus	Acanthodactylus dumerilii
Acanthodactylus dumerili	Acanthodactylus dumerilii
Acanthodactylus dumerili dumerili	Acanthodactylus dumerilii
Acanthodactylus dumerili exiguus	Acanthodactylus dumerilii
Acanthodactylus scutellatus	Acanthodactylus dumerilii
Acanthodactylus dumerilii	Acanthodactylus dumerilii
Lacerta erythrura	Acanthodactylus erythrurus
Acanthodactylus vulgaris	Acanthodactylus erythrurus
Acanthodactylus erythrurus	Acanthodactylus erythrurus
Acanthodactylus erythrurus belli	Acanthodactylus erythrurus belli
Acanthodactylus Bellii	Acanthodactylus erythrurus belli
Acanthodactylus erythrurus ksourensis	Acanthodactylus erythrurus belli
Acanthodactylus erythrurus mauritanicus	Acanthodactylus erythrurus belli
Acanthodactylus erythrurus atlanticus	Acanthodactylus erythrurus atlanticus
Acanthodactylus erythrurus lineomaculatus	Acanthodactylus erythrurus lineomaculatus
Acanthodactylus lineomaculatus	Acanthodactylus erythrurus lineomaculatus
Acanthodactylus vulgaris lineomaculatus	Acanthodactylus erythrurus lineomaculatus
Acanthodactylus erythrurus tingitanus	Acanthodactylus erythrurus lineomaculatus
Acanthodactylus felicis	Acanthodactylus felicis
Acanthodactylus gongrorhynchatus	Acanthodactylus gongrorhynchatus
Acanthodactylus scutellatus	Acanthodactylus gongrorhynchatus
Acanthodactylus fraseri	Acanthodactylus gongrorhynchatus
Acanthodactylus grandis	Acanthodactylus grandis
Acanthodactylus fraseri	Acanthodactylus grandis
Eremias guineensis	Acanthodactylus guineensis
Eremias Taenieremias guineensis	Acanthodactylus guineensis
Eremias Taenieremias benuensis	Acanthodactylus guineensis
Acanthodactylus guineensis	Acanthodactylus guineensis
Acanthodactylus haasi	Acanthodactylus haasi
Acanthodactylus fraseri	Acanthodactylus haasi
Acanthodactylus scutellatus longipes	Acanthodactylus longipes
Acanthodactylus longipes	Acanthodactylus longipes
Acanthodactylus longipes panousei	Acanthodactylus longipes
Scapteira maculata	Acanthodactylus maculatus
Zootoca deserti	Acanthodactylus maculatus
Acanthodactylus pardalis intermedius	Acanthodactylus maculatus
Acanthodactylus pardalis latastei	Acanthodactylus maculatus
Acanthodactylus maculatus	Acanthodactylus maculatus
Acanthodactylus mechriguensis	Acanthodactylus maculatus
Acanthodactylus masirae	Acanthodactylus masirae
Acanthodactylus micropholis	Acanthodactylus micropholis
Acanthodactylus nilsoni	Acanthodactylus nilsoni
Acanthodactylus opheodurus	Acanthodactylus opheodurus
Acanthodactylus opheodorus	Acanthodactylus opheodurus
Acanthodactylus tristrami orientalis	Acanthodactylus orientalis
Acanthodactylus tristrami iracensis	Acanthodactylus orientalis
Acanthodactylus tristrami tristrami	Acanthodactylus orientalis
Acanthodactylus orientalis	Acanthodactylus orientalis
Lacerta pardalis	Acanthodactylus pardalis
Lacerta deserti	Acanthodactylus pardalis
Zootoca deserti	Acanthodactylus pardalis
Acanthodactylus pardalis	Acanthodactylus pardalis
Acanthodactylus pardalis deserti	Acanthodactylus pardalis
Acanthodactylus robustus	Acanthodactylus robustus
Lacerta savignyi	Acanthodactylus savignyi
Acanthodactylus Savignyi	Acanthodactylus savignyi
Acanthodactylus vaillanti	Acanthodactylus savignyi
Acanthodactylus savignyi oranensis	Acanthodactylus savignyi
Acanthodactylus cantoris schmidti	Acanthodactylus schmidti
Acanthodactylus schmidti	Acanthodactylus schmidti
Acanthodactylus Savignyi Schreiberii	Acanthodactylus schreiberi
Acanthodactylus Schreiberi	Acanthodactylus schreiberi
Acanthodactylus schreiberi schreiberi	Acanthodactylus schreiberi
Acanthodactylus schreiberi ataturi	Acanthodactylus schreiberi
Lacerta scutellata	Acanthodactylus scutellatus
Acanthodactylus scutellatus	Acanthodactylus scutellatus
Acanthodactilus scutellatus	Acanthodactylus scutellatus
Acanthodactylus scutellatus audouini	Acanthodactylus scutellatus
Acanthodactylus inornata	Acanthodactylus scutellatus
Acanthodactylus pardalis spinicauda	Acanthodactylus spinicauda
Acanthodactylus spinicauda	Acanthodactylus spinicauda
Acanthodactylus taghitensis	Acanthodactylus taghitensis
Acanthodactylus tilburyi	Acanthodactylus tilburyi
Zootoca tristrami	Acanthodactylus tristrami
Acanthodactylus dorsalis	Acanthodactylus tristrami
Lacerta tristrami	Acanthodactylus tristrami
Lacerta platyura	Acanthodactylus tristrami
Acanthodactylus tristrami	Acanthodactylus tristrami
Acanthodactylus yemenicus	Acanthodactylus yemenicus
Boa antarctica	Acanthophis antarcticus
Acanthophis cerastinus	Acanthophis antarcticus
Acanthophis brownii	Acanthophis antarcticus
Boa ambigua	Acanthophis antarcticus
Ophryas acanthophis	Acanthophis antarcticus
Vipera acanthophis	Acanthophis antarcticus
Vipera sorda	Acanthophis antarcticus
Boa aculeata	Acanthophis antarcticus
Acanthophis antarcticus	Acanthophis antarcticus
Acanthophis antarcticus cliffrosswellingtoni	Acanthophis antarcticus
Acanthophis antarcticus schistos	Acanthophis antarcticus schistos
Acanthophis schistos	Acanthophis antarcticus schistos
Acanthophis hawkei	Acanthophis hawkei
Acanthophis cummingi	Acanthophis hawkei
Acanthophis lancasteri	Acanthophis hawkei
Acanthophis praelongus	Acanthophis praelongus
Acanthophis pyrrhus	Acanthophis pyrrhus
Acanthophis antarcticus pyrrhus	Acanthophis pyrrhus
Aggressiserpens pyrrhus	Acanthophis pyrrhus
Acanthophis pyrrhus armstrongi	Acanthophis pyrrhus
Aggressiserpens armstrongi	Acanthophis pyrrhus
Acanthophis wellsei	Acanthophis wellsi
Acanthophis wellsi	Acanthophis wellsi
Aggressiserpens wellsi	Acanthophis wellsi
Acanthophis wellsei donnellani	Acanthophis wellsi
Agama armata	Acanthosaura armata
Lophyurus armatus	Acanthosaura armata
Gonyocephalus Acanthosaurus armatus	Acanthosaura armata
Acanthosaura armata	Acanthosaura armata
Goniocephalus armatus armatus	Acanthosaura armata
Goniocephalus armatus	Acanthosaura armata
Acanthosaura capra	Acanthosaura capra
Goniocephalus capra	Acanthosaura capra
Acanthosaura crucigera	Acanthosaura crucigera
Acanthosaura horrescens	Acanthosaura crucigera
Goniocephalus armatus crucigerus	Acanthosaura crucigera
Acanthosaura cf crucigera	Acanthosaura crucigera
Calotes lepidogaster	Acanthosaura lepidogaster
Lophyrus tropidogaster	Acanthosaura lepidogaster
Acanthosaura lamnidentata	Acanthosaura lepidogaster
Acanthosaura hainanensis	Acanthosaura lepidogaster
Acanthosaura fruhstorferi	Acanthosaura lepidogaster
Acanthosaura braueri	Acanthosaura lepidogaster
Goniocephalus lepidogaster	Acanthosaura lepidogaster
Calotes fruhstorferi	Acanthosaura lepidogaster
Gonocephalus lepidogaster	Acanthosaura lepidogaster
Calotes brevipes	Acanthosaura lepidogaster
Acanthosaura lepidogaster	Acanthosaura lepidogaster
Calotes breviceps	Acanthosaura lepidogaster
Acanthosaura lepidogastra	Acanthosaura lepidogaster
Achalinus niger	Achalinus ater
Achalinus ater	Achalinus ater
Achalinus formosanus	Achalinus formosanus
Achalinopsis sauteri	Achalinus formosanus
Achalinus formosanus chigirai	Achalinus formosanus chigirai
Achalinus hainanus	Achalinus hainanus
Achalinopsis jinggangensis	Achalinus jinggangensis
Achalinus jinggangensis	Achalinus jinggangensis
Achalinus meiguensis	Achalinus meiguensis
Achalinus niger	Achalinus niger
Achalinus rufescens	Achalinus rufescens
Achalinus meridianus	Achalinus rufescens
Stoliczkaia kwangsiensis	Achalinus rufescens
Achalinus spinalis	Achalinus spinalis
Ophielaps Braconnieri	Achalinus spinalis
Achalinus braconnieri	Achalinus spinalis
Achalinus spinalis weigoldi	Achalinus spinalis
Achalinus werneri	Achalinus werneri
Achalinus loochoensis	Achalinus werneri
Achalinus spinalis werneri	Achalinus werneri
Aclys concinna	Delma concinna
Delma concinna	Delma concinna
Delma concinna major	Delma concinna major
Aclys concinna major	Delma concinna major
Acontias breviceps	Acontias breviceps
Acontias plumbeus breviceps	Acontias breviceps
Acontias gracilicauda	Acontias gracilicauda
Acontias plumbeus gracilicauda	Acontias gracilicauda
Acontias gracilicauda gracilicauda	Acontias gracilicauda
Acontias lineatus	Acontias lineatus
Microacontias lineatus lineatus	Acontias lineatus
Microacontias lineatus	Acontias lineatus
Acontias lineatus grayi	Acontias lineatus grayi
Microacontias lineatus grayi	Acontias lineatus grayi
Acontias grayi	Acontias lineatus grayi
Acontias litoralis	Acontias litoralis
Acontias lineatus	Acontias litoralis
Microacontias litoralis	Acontias litoralis
Anguis Meleagris	Acontias meleagris
Acontias meleagris	Acontias meleagris
Acontias meleagris meleagris	Acontias meleagris
Acontias percivali	Acontias percivali
