Synonym	current_species_or_subspecies_name
Coluber trabalis	Elaphe dione
Coelopeltis dione	Elaphe dione
Zamenis trabalis	Elaphe dione
Elaphis dione	Elaphe dione
Elaphe dione	Elaphe dione
Zamenis pellioti	Elaphe dione
Elaphe czerskii	Elaphe dione
Elaphe dione niger	Elaphe dione
Elaphe dione tenebrosa	Elaphe dione
Elaphe dione czerskii	Elaphe dione
Scotophis emoryi	Pantherophis emoryi
Scotophis calligaster	Pantherophis emoryi
Coluber rhinomegas	Pantherophis emoryi
Coluber emoryi	Pantherophis emoryi
Coluber laetus	Pantherophis emoryi
Elaphe laeta	Pantherophis emoryi
Elaphe laeta intermontanus	Pantherophis emoryi
Elaphe quivira	Pantherophis emoryi
Elaphe guttata emoryi	Pantherophis emoryi
Elaphe guttata meahllmorum	Pantherophis emoryi
Elaphe emoryi	Pantherophis emoryi
Pantherophis emoryi	Pantherophis emoryi
Pantherophis emoryi meahllmorum	Pantherophis emoryi
Pantherophis emoryi emoryi	Pantherophis emoryi
Plagiodon erythrurus	Coelognathus erythrurus
Herpetodryas erythrurus	Coelognathus erythrurus
Coluber erythrurus	Coelognathus erythrurus
Elaphe erythrura	Coelognathus erythrurus
Coelognathus erythrurus	Coelognathus erythrurus
Coelognathus erythrurus celebensis	Coelognathus erythrurus celebensis
Elaphe erythrura celebensis	Coelognathus erythrurus celebensis
Coelognathus erythrurus manillensis	Coelognathus erythrurus manillensis
Coelognathus erythrura manillensis	Coelognathus erythrurus manillensis
Coelognathus erythrurus psephenourus	Coelognathus erythrurus psephenourus
Elaphe erythrura psephenoura	Coelognathus erythrurus psephenourus
Coelognathus erythrurus psephenoura	Coelognathus erythrurus psephenourus
Coluber flavirufus	Pseudelaphe flavirufa
Natrix flavirufus	Pseudelaphe flavirufa
Elaphe flavirufa	Pseudelaphe flavirufa
Pseudoelaphe flavirufus	Pseudelaphe flavirufa
Elaphe chlorosoma	Pseudelaphe flavirufa
Elaphe flavirufa polysticha	Pseudelaphe flavirufa
Pseudelaphe sic flavirufus	Pseudelaphe flavirufa
Pantherophis flavirufa	Pseudelaphe flavirufa
Pseudoelaphe flavirufa	Pseudelaphe flavirufa
Pseudelaphe flavirufa	Pseudelaphe flavirufa
Pseudelaphe flavirufa matudai	Pseudelaphe flavirufa matudai
Elaphe flavirufa matudai	Pseudelaphe flavirufa matudai
Pseudelaphe flavirufus pardalina	Pseudelaphe flavirufus pardalina
Elaphis pardalinus	Pseudelaphe flavirufus pardalina
Elaphis rodriguezii	Pseudelaphe flavirufus pardalina
Elaphe flavirufa pardalina	Pseudelaphe flavirufus pardalina
Coluber flavolineata	Coelognathus flavolineatus
Coluber flavolineatus	Coelognathus flavolineatus
Elaphe flavolineata	Coelognathus flavolineatus
Coluber melanurus	Coelognathus flavolineatus
Compsosoma melanurum	Coelognathus flavolineatus
Compsosoma melanurus	Coelognathus flavolineatus
Spilotes melanurus	Coelognathus flavolineatus
Elaphis melanurus	Coelognathus flavolineatus
Composoma sic melanurum	Coelognathus flavolineatus
Elaphis melanura	Coelognathus flavolineatus
Coluber melanurus timoriensis	Coelognathus flavolineatus
Elaphe melanura	Coelognathus flavolineatus
Elaphe melanurus	Coelognathus flavolineatus
Coelognathus flavolineatus	Coelognathus flavolineatus
Orthriophis flavolineata	Coelognathus flavolineatus
Coluber guttatus	Pantherophis guttatus
Coluber maculatus	Pantherophis guttatus
Coluber compressus	Pantherophis guttatus
Coluber carolinianus	Pantherophis guttatus
Coluber molossus	Pantherophis guttatus
Coluber pantherinus	Pantherophis guttatus
Coluber floridanus	Pantherophis guttatus
Pantherophis guttata	Pantherophis guttatus
Scotophis guttatus	Pantherophis guttatus
Scotophis laetus	Pantherophis guttatus
Elaphis guttatus	Pantherophis guttatus
Coryphodon Pantherinus	Pantherophis guttatus
Coluber guttatus sellatus	Pantherophis guttatus
Coluber rosaceus	Pantherophis guttatus
Callopeltis guttatus	Pantherophis guttatus
Coluber laetus	Pantherophis guttatus
Elaphe laeta	Pantherophis guttatus
Elaphe emoryi intermontana	Pantherophis guttatus
Elaphe laeta laeta	Pantherophis guttatus
Elaphe guttata	Pantherophis guttatus
Elaphe guttata guttata	Pantherophis guttatus
Pantherophis guttatus	Pantherophis guttatus
Pituophis guttatus	Pantherophis guttatus
Coluber helena	Coelognathus helena
Herpetodryas helena	Coelognathus helena
Cynophis bistrigatus	Coelognathus helena
Plagiodon Helena	Coelognathus helena
Herpetodryas malabaricus	Coelognathus helena
Cynophis helena	Coelognathus helena
Cynophis malabaricus	Coelognathus helena
Elaphe helena	Coelognathus helena
Coelognathus helena	Coelognathus helena
Coelognathus helenus	Coelognathus helena
Coelognathus helenae	Coelognathus helena
Coelognathus helena helena	Coelognathus helena
Elephe helena	Coelognathus helena
Coelognathus helena monticollaris	Coelognathus helena monticollaris
Cynophis malabariensis carinata	Coelognathus helena monticollaris
Cynophis malabaricus	Coelognathus helena monticollaris
Elaphe helena monticollaris	Coelognathus helena monticollaris
Spilotes hodgsonii	Orthriophis hodgsoni
Compsosoma hodgsonii	Orthriophis hodgsoni
Compsosoma hodgsoni	Orthriophis hodgsoni
Coluber hodgsoni	Orthriophis hodgsoni
Coluber hodgsonii	Orthriophis hodgsoni
Elaphe hodgsoni	Orthriophis hodgsoni
Gonyosoma hodgsoni	Orthriophis hodgsoni
Orthriophis hodgsonii	Orthriophis hodgsoni
Elaphe hodgsonii	Orthriophis hodgsoni
Martinekea hodgsoni	Orthriophis hodgsoni
Ortriophis hodgsoni	Orthriophis hodgsoni
Coluber hohenackeri	Zamenis hohenackeri
Elaphe hohenackeri	Zamenis hohenackeri
Zamenis hohenackeri	Zamenis hohenackeri
Zamenis hohenackeri taurica	Zamenis hohenackeri taurica
Coluber tauricus	Zamenis hohenackeri taurica
Elaphe hohenackeri taurica	Zamenis hohenackeri taurica
Zamenis hohenackeri tauricus	Zamenis hohenackeri taurica
Callopeltis longissimus lineata	Zamenis lineatus
Coluber romanus	Zamenis lineatus
Elaphe longissima romana	Zamenis lineatus
Elaphe lineata	Zamenis lineatus
Zamenis lineatus	Zamenis lineatus
Zamenis lineata	Zamenis lineatus
Natrix longissima	Zamenis longissimus
Coluber aesculapi	Zamenis longissimus
Elaphis Aesculapii	Zamenis longissimus
Coluber esculapii	Zamenis longissimus
Coluber longissimus	Zamenis longissimus
Coluber Aesculapii	Zamenis longissimus
Elaphe longissima	Zamenis longissimus
Zamenis longissimus	Zamenis longissimus
Zamenis longissima	Zamenis longissimus
Coluber mandarinus	Euprepiophis mandarinus
Ablabes pavo	Euprepiophis mandarinus
Elaphe mandarinus	Euprepiophis mandarinus
Elaphe takasago	Euprepiophis mandarinus
Holarchus roulei	Euprepiophis mandarinus
Elaphe mandarina	Euprepiophis mandarinus
Euprepiophis mandarinus	Euprepiophis mandarinus
Euprepiophis mandarina	Euprepiophis mandarinus
Cynophis Moellendorffi	Orthriophis moellendorffi
Coluber moellendorffi	Orthriophis moellendorffi
Elaphe moellendorffii	Orthriophis moellendorffi
Elaphe möllendorffii	Orthriophis moellendorffi
Elaphe moellendorffi	Orthriophis moellendorffi
Orthriophis moellendorffi	Orthriophis moellendorffi
Coluber obsoletus	Pantherophis obsoletus
Georgia obsoleta	Pantherophis obsoletus
Scotophis Lindheimerii	Pantherophis obsoletus
Spilotes obsoletus	Pantherophis obsoletus
Elaphis obsoletus	Pantherophis obsoletus
Elaphe obsoleta	Pantherophis obsoletus
Elaphe obsoleta deckerti	Pantherophis obsoletus
Elaphe obsoleta quadravittata	Pantherophis obsoletus
Elaphe obsoleta obsoleta	Pantherophis obsoletus
Elaphe obsoleta lindheimerii	Pantherophis obsoletus
Elaphe obsoleta quadrivittata	Pantherophis obsoletus
Elaphe obsoleta lindheimeri	Pantherophis obsoletus
Pantherophis obsoletus	Pantherophis obsoletus
Pantherophis obsoletus lindheimeri	Pantherophis obsoletus
Pituophis obsoletus	Pantherophis obsoletus
Scotophis obsoletus	Pantherophis obsoletus
Pantherophis obsoletus quadrivittatus	Pantherophis obsoletus
Pantherophis obsoletus quadrivittata	Pantherophis obsoletus
Elaphe perlacea	Euprepiophis perlacea
Euprepiophis perlaceus	Euprepiophis perlacea
Euprepiophis perlacea	Euprepiophis perlacea
Coluber longissimus persica	Zamenis persicus
Elaphe longissima persica	Zamenis persicus
Elaphe persica	Zamenis persicus
Zamenis persicus	Zamenis persicus
Zamenis persica	Zamenis persicus
Richardwellsus persicus	Zamenis persicus
Coluber porphyraceus	Oreocryptophis porphyraceus
Coronella callicephalus	Oreocryptophis porphyraceus
Elaphe porphyracea	Oreocryptophis porphyraceus
Ablabes porphyraceus	Oreocryptophis porphyraceus
Oreophis porphyraceus	Oreocryptophis porphyraceus
Oreocryptophis prophyraceus	Oreocryptophis porphyraceus
Orthriophis porphyraceus	Oreocryptophis porphyraceus
Oreocryptophis porphyraceus	Oreocryptophis porphyraceus
Oreocryptophis porphyracea	Oreocryptophis porphyraceus
Oreocryptophis porphyraceus porphyraceus	Oreocryptophis porphyraceus porphyraceus
Psammophis nigrofasciatus	Oreocryptophis porphyraceus porphyraceus
Simotes Vaillanti	Oreocryptophis porphyraceus porphyraceus
Liopeltis kawakamii	Oreocryptophis porphyraceus porphyraceus
Elaphe porphyracea pulchra	Oreocryptophis porphyraceus porphyraceus
Elaphe porphyracea sikiangensis	Oreocryptophis porphyraceus porphyraceus
Elaphe porphyracea nigrofasciata	Oreocryptophis porphyraceus porphyraceus
Elaphe porphyracea porphyracea	Oreocryptophis porphyraceus porphyraceus
Oreophis porphyraceus porphyraceus	Oreocryptophis porphyraceus porphyraceus
Oreophis porphyraceus nigrofasciatus	Oreocryptophis porphyraceus porphyraceus
Oreocryptophis porphyraceus coxi	Oreocryptophis porphyraceus coxi
Elaphe porphyracea coxi	Oreocryptophis porphyraceus coxi
Oreophis porphyraceus coxi	Oreocryptophis porphyraceus coxi
Oreocryptophis prophyraceus	Oreocryptophis porphyraceus coxi
Oreocryptophis porphyraceus kawakamii	Oreocryptophis porphyraceus kawakamii
Liopeltis kawakami	Oreocryptophis porphyraceus kawakamii
Oreophis porphyraceus kawakamii	Oreocryptophis porphyraceus kawakamii
Oreocryptophis porphyracea kawakamii	Oreocryptophis porphyraceus kawakamii
Oreocryptophis porphyraceus laticinctus	Oreocryptophis porphyraceus laticinctus
Elaphe porphyracea laticincta	Oreocryptophis porphyraceus laticinctus
Oreophis porphyraceus laticincta	Oreocryptophis porphyraceus laticinctus
Oreophis porphyraceus laticinctus	Oreocryptophis porphyraceus laticinctus
Oreocryptophis porphyracea laticinctus	Oreocryptophis porphyraceus laticinctus
Oreocryptophis porphyraceus pulcher	Oreocryptophis porphyraceus pulcher
Elaphe porphyracea pulchra	Oreocryptophis porphyraceus pulcher
Oreophis porphyraceus pulchra	Oreocryptophis porphyraceus pulcher
Oreocryptophis porphyraceus vaillanti	Oreocryptophis porphyraceus vaillanti
Simotes vaillanti	Oreocryptophis porphyraceus vaillanti
Elaphe porphyracea hainana	Oreocryptophis porphyraceus vaillanti
Holarchus vaillanti	Oreocryptophis porphyraceus vaillanti
Elaphe porphyracea vaillanti	Oreocryptophis porphyraceus vaillanti
Oreophis porphyraceus hainana	Oreocryptophis porphyraceus vaillanti
Oreophis porphyraceus vaillanti	Oreocryptophis porphyraceus vaillanti
Coluber quadrivirgatus	Elaphe quadrivirgata
Coluber vulneratus	Elaphe quadrivirgata
Coluber virgatus	Elaphe quadrivirgata
Compsosoma quadrivirgatum	Elaphe quadrivirgata
Elaphis quadrivirgatus	Elaphe quadrivirgata
Elaphis bilineatus	Elaphe quadrivirgata
Leptophidium dorsale	Elaphe quadrivirgata
Elaphis quadrivirgatus interrupta	Elaphe quadrivirgata
Elaphis quadrivirgatus atra	Elaphe quadrivirgata
Elaphe quadrivirgata	Elaphe quadrivirgata
Coluber quatuorlineatus	Elaphe quatuorlineata
Coluber nauii	Elaphe quatuorlineata
Coluber quadristriatus	Elaphe quatuorlineata
Coluber quaterradiatus	Elaphe quatuorlineata
Coluber quadrilineatus	Elaphe quatuorlineata
Coluber pictus	Elaphe quatuorlineata
Coluber alpestris	Elaphe quatuorlineata
Coluber poecilocephalus	Elaphe quatuorlineata
Elaphis sauromates graeca	Elaphe quatuorlineata
Elaphis quaterradiatus	Elaphe quatuorlineata
Elaphis cervone	Elaphe quatuorlineata
Elaphe quatuorlineata preamatura	Elaphe quatuorlineata
Elaphe quattuorlineata	Elaphe quatuorlineata
Elaphe quatuorlineata	Elaphe quatuorlineata
Elaphe quatuorlineata quatuorlineata	Elaphe quatuorlineata quatuorlineata
Coluber quatuorlineatus	Elaphe quatuorlineata quatuorlineata
Elaphe quatuorlineata muenteri	Elaphe quatuorlineata muenteri
Elaphis sauromates muenteri	Elaphe quatuorlineata muenteri
Elaphe quatuorlineata rechingeri	Elaphe quatuorlineata muenteri
Elaphe rechingeri	Elaphe quatuorlineata muenteri
Coluber radiatus	Coelognathus radiatus
Coluber quadrifasciatus	Coelognathus radiatus
Tropidonotus quinque	Coelognathus radiatus
Coelognathus radiata	Coelognathus radiatus
Elaphis radiatus	Coelognathus radiatus
Plagiodon radiata	Coelognathus radiatus
Compsosoma radiatum	Coelognathus radiatus
Elaphis Compsosoma radiatum	Coelognathus radiatus
Spilotes radiatus	Coelognathus radiatus
Coluber Compsosoma radiatus	Coelognathus radiatus
Elaphe radiata	Coelognathus radiatus
Coelognathus radiatus	Coelognathus radiatus
Elaphe radiatus	Coelognathus radiatus
Tropidonotus rufodorsatus	Oocatochus rufodorsatus
Ablabes sexlineatus	Oocatochus rufodorsatus
Coluber rufodorsatus	Oocatochus rufodorsatus
Coronella sexlineata	Oocatochus rufodorsatus
Simotes Conradi	Oocatochus rufodorsatus
Simotes Herzi	Oocatochus rufodorsatus
Ablabes rufodorsatus	Oocatochus rufodorsatus
Elaphe rufodorsata	Oocatochus rufodorsatus
Elaphe rufodorsata coreensis	Oocatochus rufodorsatus
Oocatochus rufodorsatus	Oocatochus rufodorsatus
Oocatachus rufodorsatus	Oocatochus rufodorsatus
Coluber scalaris	Zamenis scalaris
Rhinechis agassizii	Zamenis scalaris
Xenodon Michahelles	Zamenis scalaris
Rhinechis scalaris	Zamenis scalaris
Elaphe scalaris	Zamenis scalaris
Zamenis scalaris	Zamenis scalaris
Elaphis Schrencki	Elaphe schrenckii
Coluber schrenkii	Elaphe schrenckii
Coluber virgatus	Elaphe schrenckii
Elaphe schrenckii	Elaphe schrenckii
Elaphe schrenckii schrenckii	Elaphe schrenckii
Elaphe schrencki	Elaphe schrenckii
Elaphe schrenki	Elaphe schrenckii
Elaphe shrenki	Elaphe schrenckii
Coluber Situla	Zamenis situla
Coluber leopardinus	Zamenis situla
Callopeltis leopardina	Zamenis situla
Ablabes quadrilineatus	Zamenis situla
Natrix leopardina	Zamenis situla
Coronella quadrilineata	Zamenis situla
Callopeltis quadrilineatus	Zamenis situla
Elaphe situla	Zamenis situla
Zamenis situla	Zamenis situla
Zamenis situlus	Zamenis situla
Coluber subradiatus	Coelognathus subradiatus
Compsosoma subradiatum	Coelognathus subradiatus
Coluber melanurus timoriensis	Coelognathus subradiatus
Elaphe subradiata	Coelognathus subradiatus
Coelognathus subradiatus	Coelognathus subradiatus
Coelognathus subradiata	Coelognathus subradiatus
Elaphe taeniurus	Orthriophis taeniurus
Coluber Nuthalli	Orthriophis taeniurus
Elaphis yunnanensis	Orthriophis taeniurus
Coluber taeniurus	Orthriophis taeniurus
Elaphe taeniura	Orthriophis taeniurus
Orthriophis taeniurus	Orthriophis taeniurus
Orthriophis taeniurus taeniurus	Orthriophis taeniurus
Orthriophis taeniurus callicyanous	Orthriophis taeniurus callicyanous
Elaphe taeniura ssp	Orthriophis taeniurus callicyanous
Elaphe taeniura mocquardi Elaphe taeniura yunnanensis	Orthriophis taeniurus callicyanous
Elaphe taeniura	Orthriophis taeniurus callicyanous
Orthriophis taeniurus friesi	Orthriophis taeniurus friesi
Coluber friesi	Orthriophis taeniurus friesi
Coluber taeniurus friesi	Orthriophis taeniurus friesi
Elaphe taeniura friesi	Orthriophis taeniurus friesi
Orthriophis taeniurus grabowskyi	Orthriophis taeniurus grabowskyi
Elaphis grabowskyi	Orthriophis taeniurus grabowskyi
Elaphis taeniurus	Orthriophis taeniurus grabowskyi
Coluber taeniurus	Orthriophis taeniurus grabowskyi
Elaphe taeniura	Orthriophis taeniurus grabowskyi
Elaphe taeniura grabowskyi	Orthriophis taeniurus grabowskyi
Elaphe taenura grabowskii	Orthriophis taeniurus grabowskyi
Orthriophis taeniurus helfenbergeri	Orthriophis taeniurus helfenbergeri
Coluber taeniurus pallidus	Orthriophis taeniurus helfenbergeri
Elaphe taeniura	Orthriophis taeniurus helfenbergeri
Elaphe taeniura taeniura	Orthriophis taeniurus helfenbergeri
Elaphe taeniura yunnanensis	Orthriophis taeniurus helfenbergeri
Elaphe taeniura ssp	Orthriophis taeniurus helfenbergeri
Elaphe taeniura ridleyi	Orthriophis taeniurus helfenbergeri
Orthriophis taeniurus	Orthriophis taeniurus helfenbergeri
Orthriophis taeniurus mocquardi	Orthriophis taeniurus mocquardi
Coluber vaillanti	Orthriophis taeniurus mocquardi
Elaphe taeniura mocquardi	Orthriophis taeniurus mocquardi
Orthriophis taeniurus ridleyi	Orthriophis taeniurus ridleyi
Elaphe taeniura ridleyi	Orthriophis taeniurus ridleyi
Orthriophis taeniurus schmackeri	Orthriophis taeniurus schmackeri
Coluber schmackeri	Orthriophis taeniurus schmackeri
Elaphe schmackeri	Orthriophis taeniurus schmackeri
Elaphe taeniura schmackeri	Orthriophis taeniurus schmackeri
Orthriophis taeniurus yunnanensis	Orthriophis taeniurus yunnanensis
Coluber Vaillanti	Orthriophis taeniurus yunnanensis
Elaphe taeniura vaillanti	Orthriophis taeniurus yunnanensis
Elaphe taeniura yunnanensis	Orthriophis taeniurus yunnanensis
Scotophis vulpinus	Pantherophis vulpinus
Elaphis rubriceps	Pantherophis vulpinus
Elaphis obsoletus vulpinus	Pantherophis vulpinus
Coluber vulpinus	Pantherophis vulpinus
Elaphe vulpina	Pantherophis vulpinus
Elaphe gloydi	Pantherophis vulpinus
Elaphe vulpina gloydi	Pantherophis vulpinus
Pantherophis vulpinus	Pantherophis vulpinus
Pantherophis gloydi	Pantherophis vulpinus
Pituophis vulpinus	Pantherophis vulpinus
Mintonius vulpinus	Pantherophis vulpinus
Mintonius vulpina	Pantherophis vulpinus
Hoplocephalus minor	Elapognathus minor
Elapognathus minor	Elapognathus minor
Notechis minor	Elapognathus minor
Elaphognathus minor	Elapognathus minor
Elapodis fusca	Elapoidis fusca
Elapodis fuscus	Elapoidis fusca
Elapoidis fusca	Elapoidis fusca
Elapoidis fuscus	Elapoidis fusca
Elapoides fuscus	Elapoidis fusca
Calamaria elapoides	Elapoidis fusca
Elaphis sumatranus	Elapoidis fusca
Elapoides fusca	Elapoidis fusca
Elapomorphus lemniscatus lemniscatus	Phalotris lemniscatus
Elapomorphus lemniscatus	Phalotris lemniscatus
Phalotris lemniscatus	Phalotris lemniscatus
Phalotris melanopleurus	Phalotris lemniscatus
Elapomorphus bilineatus lemniscatus	Phalotris lemniscatus
Elapomorphus Phalotris lemniscatus lemniscatus	Phalotris lemniscatus
Phalotris lemniscatus divittatus	Phalotris lemniscatus divittatus
Elapomorphus Phalotris lemniscatus divittatus	Phalotris lemniscatus divittatus
Phalotris divittatus	Phalotris lemniscatus divittatus
Phalotris lemniscatus iheringi	Phalotris lemniscatus iheringi
Elapomorphus iheringi	Phalotris lemniscatus iheringi
Phalotris melanopleurus	Phalotris lemniscatus iheringi
Elapomorphus lemniscatus	Phalotris lemniscatus iheringi
Elapomorphus bilineatus reticulatus	Phalotris lemniscatus iheringi
Elapomorphus Phalotris lemniscatus iheringi	Phalotris lemniscatus iheringi
Elapomorphus lemniscatus iheringi	Phalotris lemniscatus iheringi
Phalotris iheringi	Phalotris lemniscatus iheringi
Phalotris lemniscatus trilineatus	Phalotris lemniscatus trilineatus
Elapomorphus trilineatus	Phalotris lemniscatus trilineatus
Phalotris trilineatus	Phalotris lemniscatus trilineatus
Elapomorphus lepidus	Coronelaps lepidus
Elapomorphus Elapomorphus coronatus	Coronelaps lepidus
Elapomorphus coronatus	Coronelaps lepidus
Apostolepis coronata	Coronelaps lepidus
Apostolepis pymi	Coronelaps lepidus
Elapomorphus Coronelaps lepidus	Coronelaps lepidus
Coronelaps lepidus	Coronelaps lepidus
Coluber 5lineatus	Elapomorphus quinquelineatus
Elapomorphus accedens	Elapomorphus quinquelineatus
Calamaria Blumii	Elapomorphus quinquelineatus
Elapocephalus taeniatus	Elapomorphus quinquelineatus
Elapomorphus Blumii	Elapomorphus quinquelineatus
Elapomorphus quinquelineatus	Elapomorphus quinquelineatus
Elapomorphus wuchereri	Elapomorphus wuchereri
Elapsoidea broadleyi	Elapsoidea broadleyi
Elapsoidea loveridgei not	Elapsoidea broadleyi
Elapsoidea chelazzii	Elapsoidea chelazziorum
Elapsoidea chelazziorum	Elapsoidea chelazziorum
Elapsoidea guntherii	Elapsoidea guentherii
Elapsoidea hessei	Elapsoidea guentherii
Elapsoidea guentheri	Elapsoidea guentherii
Elapechis guentheri	Elapsoidea guentherii
Elapechis hessii	Elapsoidea guentherii
Elapsoidea sundevallii güntherii	Elapsoidea guentherii
Elapsoidea sundevallii decosteri	Elapsoidea guentherii
Elapsoidea decosteri scalaris	Elapsoidea guentherii
Elapsoidea loveridgei scalaris	Elapsoidea guentherii
Elapechis guentherii	Elapsoidea guentherii
Elapsoidea guentherii	Elapsoidea guentherii
Elapechis laticinctus	Elapsoidea laticincta
Elapsoidea sundevallii laticincta	Elapsoidea laticincta
Elapsoidea laticincta	Elapsoidea laticincta
Elapsoidea sundevallii loveridgei	Elapsoidea loveridgei
Elapsoidea loveridgei	Elapsoidea loveridgei
Elapsoidea loveridgei loveridgei	Elapsoidea loveridgei
Elapsoidea loveridgei multicincta	Elapsoidea loveridgei multicincta
Elapsoidea decosteri multicincta	Elapsoidea loveridgei multicincta
Elapsoidea sundevallii multicincta	Elapsoidea loveridgei multicincta
Elapsoidea loveridgei colleti	Elapsoidea loveridgei colleti
Elapsoidea decosteri colleti	Elapsoidea loveridgei colleti
Elapsoidea sundevallii colleti	Elapsoidea loveridgei colleti
Elapsoidea nigra	Elapsoidea nigra
Elapechis niger	Elapsoidea nigra
Elapsoidea sundevallii nigra	Elapsoidea nigra
Elapsoidea semiannulata	Elapsoidea semiannulata
Elapsoidea güntherii	Elapsoidea semiannulata
Elapechis guentheri	Elapsoidea semiannulata
Elapsoidea sundevalli semiannulata	Elapsoidea semiannulata
Elapsoidea decosteri huilensis	Elapsoidea semiannulata
Elapsoidea semiannulata semiannulata	Elapsoidea semiannulata
Elapsoidea semiannulata moebiusi	Elapsoidea semiannulata moebiusi
Elapsoidea güntherii	Elapsoidea semiannulata moebiusi
Elapechis moebiusi	Elapsoidea semiannulata moebiusi
Elapsoidea sundevalli guentheri	Elapsoidea semiannulata moebiusi
Elapsoidea sundevalli moebiusi	Elapsoidea semiannulata moebiusi
Elapsoidea sundevalli semiannulata	Elapsoidea semiannulata moebiusi
Elapsoidea decosteri moebiusi	Elapsoidea semiannulata moebiusi
Elapsoidea sundevallii sundevallii	Elapsoidea sundevallii
Elaps sunderwallii sic	Elapsoidea sundevallii
Elapsoidea sundevallii	Elapsoidea sundevallii
Elapechis sundevallii	Elapsoidea sundevallii
Elapechis sundervallii	Elapsoidea sundevallii
Elapsoidea sunderwallii sunderwallii	Elapsoidea sundevallii
Elapsoidea sundevallii decosteri	Elapsoidea sundevallii decosteri
Elapsoidea decosteri	Elapsoidea sundevallii decosteri
Elapechis decosteri	Elapsoidea sundevallii decosteri
Elapsoidea sundevallii  decosteri	Elapsoidea sundevallii decosteri
Elapsoidea sunderwallii decosteri	Elapsoidea sundevallii decosteri
Elapsoidea sundevalli fitzsimonsi	Elapsoidea sundevalli fitzsimonsi
Elapechis decosteri	Elapsoidea sundevalli fitzsimonsi
Elapechis sundevallii	Elapsoidea sundevalli fitzsimonsi
Elapsoidea sundevallii	Elapsoidea sundevalli fitzsimonsi
Elapsoidea sundevallii fitzsimonsi	Elapsoidea sundevalli fitzsimonsi
Elapsoidea sunderwallii fitzsimonsi	Elapsoidea sundevalli fitzsimonsi
Elapsoidea sundevallii longicauda	Elapsoidea sundevallii longicauda
Elapsoidea sundevallii  decosteri	Elapsoidea sundevallii longicauda
Elapsoidea sundevalli fitzsimonsi	Elapsoidea sundevallii longicauda
Elapsoidea sunderwallii longicauda	Elapsoidea sundevallii longicauda
Elapsoidea sundevallii media	Elapsoidea sundevallii media
Elapechis guentheri	Elapsoidea sundevallii media
Elapechis sundevallii	Elapsoidea sundevallii media
Elapsoidea sundevallii  decosteri	Elapsoidea sundevallii media
Elapsoidea sunderwallii media	Elapsoidea sundevallii media
Gerrhonotus coeruleus	Elgaria coerulea
Gerrhonotus burnetti	Elgaria coerulea
Gerrhonotus caeruleus sic	Elgaria coerulea
Gerrhonotus coeruleus utahensis	Elgaria coerulea
Elgaria coerulea	Elgaria coerulea
Elgaria coerulea coerulea	Elgaria coerulea
Elgaria coerulea palmeri	Elgaria coerulea palmeri
Gerrhonotus scincicauda palmeri	Elgaria coerulea palmeri
Gerrhonotus coeruleus palmeri	Elgaria coerulea palmeri
Elgaria coerulea principis	Elgaria coerulea principis
Elgaria principis	Elgaria coerulea principis
Gerrhonotus coeruleus principis	Elgaria coerulea principis
Elgaria coerulea shastensis	Elgaria coerulea shastensis
Gerrhonotus coeruleus shastensis	Elgaria coerulea shastensis
Gerrhonotus coeruleus shastensis	Elgaria coerulea shastensis
Elgaria kingii	Elgaria kingii
Gerrhonotus kingii	Elgaria kingii
Gerrhonotus multifasciatus	Elgaria kingii
Elgaria kingii kingii	Elgaria kingii
Elgaria usufa	Elgaria kingii
Elgaria kingii ferruginea	Elgaria kingii ferruginea
Gerrhonotus kingii ferrugineus	Elgaria kingii ferruginea
Elgaria kingii ferrea	Elgaria kingii ferruginea
Elgaria kingii nobilis	Elgaria kingii nobilis
Elgaria nobilis	Elgaria kingii nobilis
Gerrhonotus nobilis	Elgaria kingii nobilis
Gerrhonotus kingii	Elgaria kingii nobilis
Gerrhonotus kingii nobilis	Elgaria kingii nobilis
Cordylus Gerhonotus multicarinatus	Elgaria multicarinata
Gerrhonotus multicarinatus	Elgaria multicarinata
Elgaria multicarinata	Elgaria multicarinata
Elgaria multicarinata multicarinata	Elgaria multicarinata
Elgaria multicarinata ignava	Elgaria multicarinata ignava
Gerrhonotus scincicauda ignava	Elgaria multicarinata ignava
Gerrhonotus multicarinatus ignavus	Elgaria multicarinata ignava
Elgaria multicarinata nana	Elgaria multicarinata nana
Gerrhonotus scincicauda nanus	Elgaria multicarinata nana
Gerrhonotus multicarinatus nanus	Elgaria multicarinata nana
Elgaria nana	Elgaria multicarinata nana
Elgaria multicarinata scincicauda	Elgaria multicarinata scincicauda
Tropidolepis scincicauda	Elgaria multicarinata scincicauda
Gerrhonotus Elgaria scincicauda	Elgaria multicarinata scincicauda
Gerrhonotus scincicauda	Elgaria multicarinata scincicauda
Gerrhonotus multicarinatus scincicauda	Elgaria multicarinata scincicauda
Elgaria multicarinata webbii	Elgaria multicarinata webbii
Gerrhonotus webbii	Elgaria multicarinata webbii
Gerrhonotus scincicauda webbii	Elgaria multicarinata webbii
Gerrhonotus multicarinatus webbii	Elgaria multicarinata webbii
Gerrhonotus scincicauda ignavus	Elgaria multicarinata webbii
Gerrhonotus panamintinus	Elgaria panamintina
Elgaria panamintina	Elgaria panamintina
Gerrhonotus parvus	Gerrhonotus parvus
Elgaria parva	Gerrhonotus parvus
Gerrhonotus paucicarinatus	Elgaria paucicarinata
